@relation 'train_sample_45K-weka.filters.unsupervised.attribute.Remove-R1,16-20,22-23,25-28,30-31,33-34,36,39-41'

@attribute Label {0,1}
@attribute I1 numeric
@attribute I2 numeric
@attribute I3 numeric
@attribute I4 numeric
@attribute I5 numeric
@attribute I6 numeric
@attribute I7 numeric
@attribute I8 numeric
@attribute I9 numeric
@attribute I10 numeric
@attribute I11 numeric
@attribute I12 numeric
@attribute I13 numeric
@attribute C6 {fe6b92e5,7e0ccccf,fbad5c96,13718bbd,6f6d9be8,3bf701e7,c05778d5,f1f2de2d,e3520422,3bc1ed4d,c76aecf6,3c46edb2}
@attribute C9 {a73ee510,7cc72ec2,a18233ea}
@attribute C14 {07d13a8f,1adce6ef,b28479f6,f7c1b33f,32813e21,64c94865,d2dfe871,ad1cc976,051219e6,f862f261,cfef1c29,8ceecbc8,687dfaf4,0601d3b5,91233270,243a4e68,ec19f520,ab7390e9,26ac7cf4,dcd762ee,e8dce07a,95a6ab8c,cf1fc48d,5aebfb83,0bc7c8c2}
@attribute C17 {e5ba7672,07c540c4,d4bb7bd8,776ce399,1e88c74f,3486227d,2005abd1,27c07bd6,8efede7f}
@attribute C20 {5840adea,a458ea53,b1252a9d}
@attribute C22 {c9d4222a,ad3062eb,78e2e389,8651fddb,8ec974f4,c0061c6d,ccfd4002,49e825c5,28f45308,1856e93d}
@attribute C23 {3a171ecb,32c7478e,85d5a995,bcdee96c,423fab69,c7dc6720,be7c41b4,55dd3565,c3dc6cef,dbb486d7,93bad2c0,b264a060,72592995,25e3c76b}

@data
1,27,498,1,2,5,0,29,36,59,3,5,?,0,7e0ccccf,a73ee510,07d13a8f,e5ba7672,b1252a9d,?,c7dc6720
0,1,41,1,0,33,1,22,0,0,1,4,?,0,fbad5c96,a73ee510,07d13a8f,e5ba7672,?,ad3062eb,32c7478e
0,?,0,11,2,?,?,0,2,47,?,0,?,2,7e0ccccf,7cc72ec2,07d13a8f,2005abd1,?,ad3062eb,be7c41b4
1,27,6,34,12,4,3,557,23,435,3,64,0,3,fbad5c96,a73ee510,32813e21,27c07bd6,?,ad3062eb,55dd3565
0,?,0,14,5,10123,101,3,18,17,?,1,?,5,fe6b92e5,a73ee510,07d13a8f,07c540c4,b1252a9d,ad3062eb,3a171ecb
0,0,1,40,21,1517,45,34,45,120,0,4,?,21,7e0ccccf,a73ee510,64c94865,e5ba7672,b1252a9d,?,423fab69
1,0,0,2,?,879,53,52,3,1062,0,12,?,?,fbad5c96,a73ee510,1adce6ef,e5ba7672,a458ea53,?,3a171ecb
1,?,0,1,?,5394,1,4,1,7,?,1,?,?,7e0ccccf,a73ee510,d2dfe871,27c07bd6,a458ea53,?,423fab69
1,8,567,1,1,1,0,138,49,510,3,22,0,0,3bf701e7,a73ee510,07d13a8f,8efede7f,5840adea,?,423fab69
1,6,183,1,1,253,1,11,1,1,2,4,?,1,7e0ccccf,a73ee510,b28479f6,e5ba7672,?,?,32c7478e
0,0,85,11,3,2855,7,5,3,6,0,1,?,3,fbad5c96,a73ee510,1adce6ef,e5ba7672,5840adea,?,be7c41b4
0,?,3,2,15,21559,?,0,21,1,?,0,?,15,7e0ccccf,a73ee510,b28479f6,d4bb7bd8,?,?,bcdee96c
0,?,487,5,6,134229,?,0,6,6,?,0,?,6,?,7cc72ec2,07d13a8f,d4bb7bd8,5840adea,?,3a171ecb
1,5,77,15,4,0,0,20,4,44,1,4,0,0,7e0ccccf,a73ee510,b28479f6,27c07bd6,?,ad3062eb,32c7478e
0,?,486,5,5,1545,403,11,5,24,?,3,0,5,fe6b92e5,a73ee510,b28479f6,3486227d,?,?,bcdee96c
0,0,0,36,5,3126,66,8,19,43,0,1,?,17,7e0ccccf,a73ee510,b28479f6,e5ba7672,b1252a9d,ad3062eb,3a171ecb
1,?,117,8,6,2635,6,32,6,23,?,3,0,6,fbad5c96,a73ee510,07d13a8f,e5ba7672,b1252a9d,?,423fab69
0,?,1361,143,8,17529,?,0,29,8,?,0,?,29,fbad5c96,a73ee510,07d13a8f,776ce399,b1252a9d,?,32c7478e
0,0,110,?,0,154,464,35,0,595,0,12,?,8,fe6b92e5,a73ee510,07d13a8f,e5ba7672,?,?,423fab69
0,?,0,41,7,5381,104,9,8,189,?,3,?,8,7e0ccccf,a73ee510,1adce6ef,e5ba7672,b1252a9d,?,423fab69
0,0,3,1,1,3636,111,3,5,31,0,2,?,1,7e0ccccf,a73ee510,b28479f6,07c540c4,?,?,32c7478e
0,0,1,5,1,4587,34,2,13,45,0,2,?,10,?,a73ee510,07d13a8f,07c540c4,a458ea53,?,423fab69
0,0,1,3,7,2116,100,2,30,192,0,2,?,9,7e0ccccf,a73ee510,07d13a8f,07c540c4,5840adea,?,c7dc6720
0,?,1,5,4,56926,?,0,4,47,?,0,?,4,6f6d9be8,7cc72ec2,f7c1b33f,e5ba7672,a458ea53,?,32c7478e
0,1,3,2,1,519,4,1,5,36,1,1,0,1,7e0ccccf,a73ee510,d2dfe871,3486227d,?,?,3a171ecb
1,1,11,?,1,87,1,1,1,1,1,1,?,1,fe6b92e5,a73ee510,07d13a8f,d4bb7bd8,?,?,3a171ecb
0,?,718,8,?,7644,49,2,0,9,?,1,?,?,7e0ccccf,a73ee510,07d13a8f,e5ba7672,5840adea,?,3a171ecb
0,?,1,3,1,153021,?,0,2,24,?,0,?,1,7e0ccccf,7cc72ec2,07d13a8f,1e88c74f,?,?,3a171ecb
0,?,2,74,6,8690,22,1,6,15,?,1,?,6,7e0ccccf,a73ee510,b28479f6,d4bb7bd8,5840adea,ad3062eb,c7dc6720
0,?,31,6,1,31671,6,0,1,3,?,0,?,1,?,a73ee510,1adce6ef,d4bb7bd8,a458ea53,?,32c7478e
0,0,75,110,5,1484,122,4,6,59,0,2,?,36,?,a73ee510,07d13a8f,e5ba7672,a458ea53,?,423fab69
0,0,1,75,6,4911,330,1,6,46,0,1,?,6,?,a73ee510,07d13a8f,1e88c74f,a458ea53,?,32c7478e
0,0,1875,6,4,1494,6,34,6,274,0,8,?,6,fbad5c96,a73ee510,ad1cc976,e5ba7672,?,ad3062eb,c3dc6cef
1,?,-1,?,?,?,?,0,1,1,?,0,?,?,6f6d9be8,7cc72ec2,64c94865,2005abd1,?,?,32c7478e
0,3,19,40,60,87,62,3,40,232,1,1,?,62,fbad5c96,a73ee510,b28479f6,e5ba7672,a458ea53,?,32c7478e
0,?,1,31,5,39853,?,?,5,?,?,?,?,5,7e0ccccf,a73ee510,b28479f6,d4bb7bd8,a458ea53,?,32c7478e
0,5,1,4,3,7,3,5,3,3,1,1,?,3,fbad5c96,a73ee510,07d13a8f,e5ba7672,5840adea,?,3a171ecb
0,0,-1,6,1,1491,77,2,9,13,0,1,?,10,7e0ccccf,a73ee510,07d13a8f,07c540c4,a458ea53,?,423fab69
0,?,71,5,?,173092,?,0,7,142,?,0,?,?,7e0ccccf,7cc72ec2,07d13a8f,e5ba7672,b1252a9d,?,3a171ecb
0,2,51,?,1,2,1,2,1,1,1,1,?,1,fbad5c96,a73ee510,07d13a8f,07c540c4,b1252a9d,?,32c7478e
0,?,5,21,13,24,?,0,11,13,?,0,?,13,7e0ccccf,a73ee510,b28479f6,d4bb7bd8,a458ea53,?,32c7478e
0,?,20,2,4,9442,?,0,4,22,?,0,?,4,7e0ccccf,a73ee510,b28479f6,776ce399,?,?,be7c41b4
0,?,0,?,?,22144,?,0,0,69,?,0,?,?,fbad5c96,a73ee510,07d13a8f,776ce399,?,ad3062eb,be7c41b4
0,0,600,10,?,17508,?,?,0,?,0,?,?,?,fbad5c96,a73ee510,07d13a8f,e5ba7672,5840adea,?,55dd3565
1,?,-1,?,?,212135,?,?,0,?,?,?,?,?,7e0ccccf,7cc72ec2,051219e6,07c540c4,?,?,3a171ecb
0,?,715,?,12,2,1483,0,1,1146,?,0,?,0,7e0ccccf,a73ee510,b28479f6,e5ba7672,?,?,bcdee96c
1,?,0,13,4,4461,204,1,1,94,?,1,?,6,fbad5c96,a73ee510,1adce6ef,07c540c4,b1252a9d,?,3a171ecb
0,?,6,3,?,523229,?,?,0,?,?,?,?,?,?,7cc72ec2,b28479f6,1e88c74f,5840adea,?,32c7478e
0,0,22,3,2,8625,587,2,11,110,0,2,0,2,7e0ccccf,a73ee510,07d13a8f,3486227d,?,?,55dd3565
0,2,0,59,33,5,12,2,45,33,1,1,?,12,7e0ccccf,a73ee510,b28479f6,e5ba7672,5840adea,?,32c7478e
0,?,121,42,4,?,?,0,3,4,?,0,?,4,fe6b92e5,7cc72ec2,f862f261,2005abd1,?,?,be7c41b4
1,?,3,?,?,87089,560,0,0,26,?,0,?,?,fbad5c96,7cc72ec2,1adce6ef,e5ba7672,?,ad3062eb,dbb486d7
1,1,0,?,2,43,1,1,2,2,1,1,?,1,fbad5c96,a73ee510,1adce6ef,e5ba7672,?,?,32c7478e
0,0,14,1,1,4400,106,9,14,106,0,1,?,1,7e0ccccf,a73ee510,07d13a8f,e5ba7672,b1252a9d,?,3a171ecb
0,2,24,28,5,574,68,8,18,217,1,3,?,5,7e0ccccf,a73ee510,b28479f6,e5ba7672,?,?,32c7478e
0,2,0,3,22,38,22,2,11,22,1,1,?,22,7e0ccccf,a73ee510,b28479f6,07c540c4,?,?,32c7478e
1,0,0,3,9,1601,32,5,17,30,0,2,?,9,fbad5c96,a73ee510,b28479f6,07c540c4,?,?,3a171ecb
1,2,-1,?,0,21,0,6,12,51,2,3,?,0,?,a73ee510,07d13a8f,e5ba7672,a458ea53,?,32c7478e
0,5,1,1,0,122,8,5,2,2,1,1,6,2,fe6b92e5,a73ee510,07d13a8f,8efede7f,?,ad3062eb,3a171ecb
0,?,51,?,?,1013,?,0,25,23,?,0,?,?,7e0ccccf,a73ee510,07d13a8f,e5ba7672,b1252a9d,?,32c7478e
0,0,1632,4,5,8513,407,4,10,656,0,2,?,62,7e0ccccf,a73ee510,07d13a8f,e5ba7672,b1252a9d,?,3a171ecb
0,1,187,4,4,205,8,2,13,14,1,2,?,6,fbad5c96,a73ee510,07d13a8f,07c540c4,?,?,32c7478e
0,0,191,17,5,2325,41,3,21,27,0,1,?,5,7e0ccccf,a73ee510,07d13a8f,07c540c4,5840adea,ad3062eb,3a171ecb
1,2,1,20,20,1,7,106,23,444,1,15,0,7,7e0ccccf,a73ee510,07d13a8f,27c07bd6,a458ea53,?,dbb486d7
1,5,17,1,8,8,1,19,25,413,1,8,0,1,fbad5c96,a73ee510,07d13a8f,e5ba7672,?,?,32c7478e
1,1,2,29,0,195,34,203,4,75,1,16,?,1,fbad5c96,a73ee510,051219e6,e5ba7672,a458ea53,c9d4222a,32c7478e
0,0,12,62,9,2057,30,3,11,17,0,1,1,9,?,a73ee510,07d13a8f,3486227d,a458ea53,?,32c7478e
0,1,1064,?,1,506,81,7,48,332,1,4,0,1,7e0ccccf,a73ee510,b28479f6,e5ba7672,?,?,bcdee96c
0,1,0,66,0,24,7,1,0,0,1,1,?,0,7e0ccccf,a73ee510,07d13a8f,d4bb7bd8,5840adea,c9d4222a,3a171ecb
0,?,0,4,1,20527,201,4,13,148,?,1,?,1,fbad5c96,a73ee510,b28479f6,e5ba7672,b1252a9d,?,32c7478e
0,6,208,2,1,2,0,10,11,27,2,4,?,0,fe6b92e5,a73ee510,b28479f6,e5ba7672,?,c9d4222a,3a171ecb
0,17,2,29,6,508,92,32,34,123,2,6,?,6,7e0ccccf,a73ee510,b28479f6,e5ba7672,5840adea,ad3062eb,32c7478e
0,1,1,12,6,254,11,34,37,196,1,3,?,6,7e0ccccf,a73ee510,07d13a8f,e5ba7672,a458ea53,c9d4222a,c7dc6720
0,1,21,1,30,264,30,1,9,30,1,1,?,30,7e0ccccf,a73ee510,07d13a8f,d4bb7bd8,5840adea,?,c7dc6720
0,?,-1,21,15,1467,?,0,37,16,?,0,?,39,fbad5c96,a73ee510,b28479f6,e5ba7672,5840adea,?,32c7478e
0,?,2,2,7,90,211,0,8,8,?,0,?,8,7e0ccccf,a73ee510,07d13a8f,d4bb7bd8,5840adea,?,55dd3565
0,?,1,67,5,476,?,0,8,158,?,0,?,8,fbad5c96,a73ee510,1adce6ef,1e88c74f,a458ea53,?,32c7478e
0,0,1,33,4,1667,11,13,11,19,0,2,?,4,3bf701e7,a73ee510,b28479f6,e5ba7672,b1252a9d,ad3062eb,3a171ecb
1,?,0,?,?,24439,114,5,0,44,?,1,?,?,?,a73ee510,07d13a8f,e5ba7672,5840adea,?,32c7478e
0,?,2,4,?,10776,?,0,0,321,?,0,?,?,7e0ccccf,a73ee510,1adce6ef,1e88c74f,?,?,3a171ecb
0,2,52,24,0,69,52,5,49,143,0,2,?,0,7e0ccccf,a73ee510,b28479f6,e5ba7672,5840adea,ad3062eb,32c7478e
1,6,0,59,6,0,0,6,7,7,1,1,?,0,3bf701e7,a73ee510,b28479f6,e5ba7672,b1252a9d,ad3062eb,bcdee96c
0,6,0,8,1,31,0,73,3,310,2,14,?,0,7e0ccccf,a73ee510,1adce6ef,e5ba7672,5840adea,?,423fab69
1,0,-1,?,?,2113,19,7,8,78,0,5,0,?,7e0ccccf,a73ee510,cfef1c29,e5ba7672,5840adea,?,32c7478e
0,?,48,1,1,1,112,0,1,74,?,0,?,1,7e0ccccf,a73ee510,d2dfe871,e5ba7672,?,ad3062eb,423fab69
0,?,268,?,2,7968,47,5,3,35,?,1,?,2,6f6d9be8,a73ee510,b28479f6,e5ba7672,?,?,32c7478e
0,0,66,32,4,6575,373,3,49,188,0,1,?,31,7e0ccccf,a73ee510,1adce6ef,07c540c4,?,?,423fab69
0,30,3,1,4,1274,24,106,27,192,0,4,0,4,fbad5c96,a73ee510,b28479f6,e5ba7672,?,?,423fab69
0,1,2,11,8,20,8,1,9,8,1,1,?,8,fe6b92e5,a73ee510,b28479f6,d4bb7bd8,5840adea,ad3062eb,32c7478e
1,0,116,0,1,4934,68,2,21,46,0,2,?,1,fbad5c96,a73ee510,07d13a8f,07c540c4,b1252a9d,?,3a171ecb
1,84,163,4,5,0,0,113,10,13,2,5,?,0,?,a73ee510,07d13a8f,e5ba7672,5840adea,?,32c7478e
0,?,26,?,?,17961,?,0,1,6,?,0,?,?,fbad5c96,a73ee510,1adce6ef,1e88c74f,?,?,32c7478e
1,0,3,5,5,385,13,3,11,13,0,2,0,5,?,a73ee510,b28479f6,07c540c4,?,?,3a171ecb
1,10,34,4,10,12,3,10,10,10,1,1,0,3,fbad5c96,a73ee510,b28479f6,e5ba7672,?,ad3062eb,3a171ecb
0,0,0,18,13,2095,74,7,14,76,0,2,?,13,fbad5c96,a73ee510,1adce6ef,e5ba7672,5840adea,?,32c7478e
1,1,276,7,13,1385,16,3,8,45,0,1,?,15,7e0ccccf,a73ee510,b28479f6,27c07bd6,?,c9d4222a,32c7478e
0,2,0,0,7,417,22,2,26,26,2,2,?,7,6f6d9be8,a73ee510,07d13a8f,07c540c4,a458ea53,?,32c7478e
0,8,0,3,2,74,2,8,26,32,2,2,?,2,7e0ccccf,a73ee510,1adce6ef,e5ba7672,?,?,3a171ecb
0,?,10,5,4,182308,?,0,6,25,?,0,?,4,7e0ccccf,7cc72ec2,1adce6ef,e5ba7672,b1252a9d,?,3a171ecb
0,4,2,9,9,246,9,4,9,9,1,1,1,9,fe6b92e5,a73ee510,1adce6ef,3486227d,?,?,85d5a995
1,3,0,12,2,1144,59,13,15,125,1,7,0,2,7e0ccccf,a73ee510,1adce6ef,8efede7f,b1252a9d,?,423fab69
0,?,1,11,6,1190,6,0,6,6,?,0,?,6,fbad5c96,a73ee510,d2dfe871,8efede7f,a458ea53,?,3a171ecb
0,?,1,9,6,29927,24,31,7,31,?,3,?,6,7e0ccccf,7cc72ec2,d2dfe871,3486227d,a458ea53,?,3a171ecb
0,?,91,8,9,339,269,1,16,168,?,1,?,9,7e0ccccf,a73ee510,b28479f6,e5ba7672,5840adea,c9d4222a,3a171ecb
0,?,1215,3,3,705,?,0,32,130,?,0,?,3,7e0ccccf,a73ee510,b28479f6,1e88c74f,b1252a9d,ad3062eb,be7c41b4
0,0,0,4,28,4,1042,1,13,937,0,1,?,14,7e0ccccf,a73ee510,07d13a8f,d4bb7bd8,?,?,32c7478e
0,3,10,7,74,250,113,7,13,1166,1,2,?,109,7e0ccccf,a73ee510,b28479f6,e5ba7672,5840adea,?,32c7478e
0,?,-1,?,?,?,?,0,2,3,?,0,?,?,fe6b92e5,7cc72ec2,07d13a8f,2005abd1,?,78e2e389,423fab69
0,1,18,56,47,33,43,1,42,59,1,1,?,43,?,a73ee510,07d13a8f,d4bb7bd8,b1252a9d,?,32c7478e
0,?,28,7,7,7247,?,0,9,53,?,0,?,7,7e0ccccf,a73ee510,b28479f6,1e88c74f,?,?,32c7478e
1,?,0,33,11,7549,48,17,16,32,?,2,1,11,?,a73ee510,07d13a8f,3486227d,a458ea53,?,32c7478e
1,?,198,1,1,22678,10,12,1,16,?,2,?,1,7e0ccccf,a73ee510,b28479f6,e5ba7672,b1252a9d,ad3062eb,bcdee96c
0,2,4,13,43,5,16,4,43,242,1,2,?,16,7e0ccccf,a73ee510,b28479f6,e5ba7672,5840adea,ad3062eb,bcdee96c
1,0,0,?,?,2613,5,12,2,9,0,3,?,?,fbad5c96,a73ee510,07d13a8f,3486227d,?,ad3062eb,c7dc6720
0,0,4,18,1,6117,407,1,14,17,0,1,?,1,7e0ccccf,a73ee510,07d13a8f,d4bb7bd8,a458ea53,?,32c7478e
0,4,136,18,3,1566,24,10,6,6,0,1,?,3,?,a73ee510,07d13a8f,e5ba7672,b1252a9d,?,3a171ecb
1,0,0,3,?,3456,161,6,0,16,0,2,?,?,7e0ccccf,a73ee510,1adce6ef,e5ba7672,b1252a9d,?,3a171ecb
0,0,-1,?,?,1370,78,5,46,185,0,4,?,?,7e0ccccf,a73ee510,07d13a8f,3486227d,?,?,423fab69
1,1,5,159,8,5,8,1,10,8,1,1,?,8,fbad5c96,a73ee510,b28479f6,d4bb7bd8,5840adea,c9d4222a,32c7478e
0,?,1,2,2,4764,3,1,2,7,?,1,?,2,?,a73ee510,1adce6ef,d4bb7bd8,?,?,32c7478e
0,3,136,16,13,1141,22,48,43,137,1,5,0,14,?,a73ee510,1adce6ef,e5ba7672,a458ea53,?,423fab69
1,46,3,31,16,11,9,143,36,165,1,11,?,9,fbad5c96,a73ee510,d2dfe871,e5ba7672,a458ea53,ad3062eb,3a171ecb
0,?,52,3,4,4180,16,122,2,21,?,1,1,4,fe6b92e5,a73ee510,051219e6,3486227d,a458ea53,?,32c7478e
0,?,2,3,5,17683,?,0,10,100,?,0,?,8,fe6b92e5,a73ee510,07d13a8f,776ce399,?,?,be7c41b4
0,?,-1,?,?,32330,?,0,4,4,?,0,?,?,fbad5c96,a73ee510,07d13a8f,e5ba7672,b1252a9d,8651fddb,c7dc6720
1,1,-1,9,5,2,2,10,10,296,1,8,?,2,7e0ccccf,a73ee510,07d13a8f,e5ba7672,b1252a9d,ad3062eb,3a171ecb
1,2,0,4,1,4,0,7,2,94,1,2,1,0,7e0ccccf,a73ee510,07d13a8f,27c07bd6,?,?,32c7478e
0,0,33,?,?,6343,180,6,0,42,0,1,?,?,fbad5c96,a73ee510,07d13a8f,e5ba7672,?,?,32c7478e
1,?,0,21,3,165,768,0,28,98,?,0,?,30,7e0ccccf,a73ee510,051219e6,e5ba7672,a458ea53,?,32c7478e
1,4,830,?,?,613,24,49,8,311,1,11,0,?,?,a73ee510,1adce6ef,8efede7f,a458ea53,?,423fab69
1,?,32,?,?,9531,150,6,24,262,?,4,?,?,fe6b92e5,a73ee510,1adce6ef,e5ba7672,?,?,423fab69
0,0,1,?,?,2639,182,1,29,81,0,1,?,?,7e0ccccf,a73ee510,1adce6ef,d4bb7bd8,?,?,32c7478e
0,?,61,56,2,252266,?,0,4,146,?,0,?,4,7e0ccccf,7cc72ec2,1adce6ef,3486227d,5840adea,?,32c7478e
0,?,0,23,19,12218,20,2,17,20,?,1,?,19,?,a73ee510,b28479f6,d4bb7bd8,5840adea,?,bcdee96c
1,?,1,1,3,16495,?,0,3,5,?,0,?,3,7e0ccccf,a73ee510,07d13a8f,776ce399,?,?,be7c41b4
0,0,21,1,1,2682,84,8,39,80,0,2,0,1,fe6b92e5,a73ee510,b28479f6,3486227d,?,?,bcdee96c
1,?,-1,?,?,2004,131,10,10,69,?,1,0,?,7e0ccccf,a73ee510,32813e21,3486227d,?,?,3a171ecb
0,1,1,7,14,433,105,41,17,2988,1,12,1,20,fbad5c96,a73ee510,1adce6ef,8efede7f,b1252a9d,?,32c7478e
0,1,-1,?,?,859,2,10,3,6,1,7,?,?,7e0ccccf,a73ee510,07d13a8f,e5ba7672,5840adea,ad3062eb,be7c41b4
0,?,-1,?,?,?,?,?,0,?,?,?,?,?,fbad5c96,7cc72ec2,b28479f6,2005abd1,?,ad3062eb,32c7478e
0,0,2,5,12,1981,76,1,26,41,0,1,?,12,fe6b92e5,a73ee510,b28479f6,e5ba7672,?,?,3a171ecb
0,0,0,36,2,2792,32,62,14,238,0,8,0,2,3bf701e7,a73ee510,051219e6,27c07bd6,a458ea53,?,dbb486d7
1,0,1,?,5,23038,767,1,8,605,0,1,?,5,fe6b92e5,7cc72ec2,07d13a8f,e5ba7672,?,?,c7dc6720
1,?,-1,?,?,17899,141,0,0,87,?,0,?,?,6f6d9be8,a73ee510,b28479f6,07c540c4,b1252a9d,?,32c7478e
0,2,135,28,4,672,71,2,24,25,1,1,?,11,13718bbd,a73ee510,07d13a8f,e5ba7672,?,?,3a171ecb
0,?,27,9,2,636,?,0,9,9,?,0,?,2,7e0ccccf,a73ee510,b28479f6,1e88c74f,b1252a9d,?,3a171ecb
0,?,19,17,2,2714,?,0,3,30,?,0,?,2,fe6b92e5,a73ee510,b28479f6,1e88c74f,5840adea,?,32c7478e
1,2,105,1,1,872,14,5,12,54,1,2,?,1,7e0ccccf,a73ee510,b28479f6,e5ba7672,?,?,32c7478e
0,?,0,1,?,6419,3,4,0,0,?,1,?,?,fbad5c96,a73ee510,64c94865,07c540c4,?,?,55dd3565
1,3,-1,?,?,1193,73,4,21,119,2,3,0,?,fe6b92e5,a73ee510,07d13a8f,e5ba7672,?,?,32c7478e
0,?,621,?,?,29364,136,14,7,133,?,1,?,?,7e0ccccf,a73ee510,07d13a8f,e5ba7672,?,?,c7dc6720
0,1,8,27,9,645,47,1,26,26,1,1,?,9,7e0ccccf,a73ee510,8ceecbc8,e5ba7672,5840adea,ad3062eb,32c7478e
1,2,-1,?,?,1507,7,308,7,167,0,9,0,?,fe6b92e5,a73ee510,b28479f6,3486227d,b1252a9d,ad3062eb,bcdee96c
0,0,2,55,6,3015,51,8,13,324,0,5,?,6,7e0ccccf,a73ee510,07d13a8f,e5ba7672,b1252a9d,ad3062eb,3a171ecb
0,?,1,18,?,212981,?,0,0,0,?,0,?,?,3bf701e7,7cc72ec2,687dfaf4,d4bb7bd8,b1252a9d,?,3a171ecb
0,2,1,1,0,8,0,10,1,9,1,2,?,0,7e0ccccf,a73ee510,32813e21,e5ba7672,?,?,55dd3565
0,0,4,43,16,2220,87,17,16,281,0,3,?,16,fbad5c96,a73ee510,b28479f6,e5ba7672,b1252a9d,c9d4222a,bcdee96c
0,?,0,6,6,33860,94,1,7,88,?,0,?,6,3bf701e7,7cc72ec2,051219e6,27c07bd6,a458ea53,ad3062eb,3a171ecb
0,?,-1,?,?,2852,415,12,37,143,?,1,0,?,7e0ccccf,a73ee510,cfef1c29,27c07bd6,?,ad3062eb,423fab69
