Id,Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
10145724,1,,-1,,,3592,8,28,0,10,,5,,,68fd1e64,2eb7b10e,9a0f02c3,7736081b,25c83c98,fbad5c96,c4cf3750,0b153874,a73ee510,7ae50bfd,9d7e66c3,ae7927b7,df957573,07d13a8f,dcea681c,229a113d,e5ba7672,5d1eff8d,,,b48db57f,,423fab69,45b2acf4,,
10149460,0,,1,1,1,6501,28,10,9,20,,1,,1,68fd1e64,52d631d9,d032c263,c18be181,25c83c98,7e0ccccf,7180cf3d,c8ddd494,a73ee510,0be3526a,f293f2e6,dfbb09fb,1d7c612c,07d13a8f,f50033e5,84898b2a,e5ba7672,9943b99f,,,0014c32a,,3a171ecb,3b183c5c,,
10152817,1,,961,1,2,3170,786,0,13,214,,0,,2,5a9ed9b0,38a947a1,0a0fd92e,6a14f9b9,f281d2a7,fe6b92e5,12c61956,37e4aa92,a73ee510,4587d18e,94d2aad8,da0f5fae,f23a3825,07d13a8f,04318a63,f8b34416,e5ba7672,e5f8f18f,,,f3ddd519,,32c7478e,b34f3128,,
10161367,0,,75,1,2,27141,5,1,2,2,,1,,2,24eda356,1287a654,356bcfa5,8ab17182,25c83c98,7e0ccccf,9b98e9fc,a25968f2,a73ee510,49d1ad89,7f8ffe57,9e08720d,46f42a63,b28479f6,ced5be3a,c1be121e,d4bb7bd8,df00d249,,,56605980,,32c7478e,4a236577,,
10190574,0,0,1,3,,3448,65,6,8,52,0,2,,,5bfa8ab5,bc6e3dc1,67799c69,d00d0f35,25c83c98,7e0ccccf,753aa291,5b392875,a73ee510,733b729f,d20ffd8f,b9f28c33,6619af2b,5aebfb83,d702713a,0f655650,e5ba7672,3a2028fd,,,b426bc93,,3a171ecb,2e0a0035,,
10204318,0,1,-1,27,10,604,23,17,46,140,1,3,0,10,05db9164,3ab4d7f5,109ddc69,73ad28a8,25c83c98,7e0ccccf,0dec8040,0b153874,a73ee510,ed8257bc,a9b84bd5,d72a8b65,cdc2ccda,07d13a8f,0507b832,4b6488bc,e5ba7672,b76fb0de,21ddcdc9,a458ea53,6f393b20,c9d4222a,423fab69,65e74c52,c9f3bea7,2f494e85
10206100,0,,57,1,10,578,,0,40,41,,0,,10,05db9164,08d6d899,9143c832,f56b7dd5,25c83c98,fe6b92e5,38eb9cf4,0b153874,a73ee510,f6f942d1,7f8ffe57,ae1bb660,46f42a63,07d13a8f,41f10449,bad5ee18,1e88c74f,698d1c68,,,0429f84b,,dbb486d7,c0d61a5c,,
10225209,0,,182,66,5,14806,284,3,5,13,,3,,5,5a9ed9b0,76c475b1,40933f2f,55efee58,f281d2a7,7e0ccccf,9ff9bbde,37e4aa92,a73ee510,9343fa06,f89fe102,7d9b89ef,83e6ca2e,1adce6ef,280a440c,267c028a,07c540c4,ae09efbe,,,cff06640,,423fab69,5ddc2c4c,,
10280285,0,,0,1,,2184,,0,11,11,,0,,,05db9164,287130e0,f9aa8ace,54b2e8b7,25c83c98,6f6d9be8,dcde2189,5b392875,a73ee510,3b08e48b,fbb27036,00e59c91,2f6d429e,1adce6ef,310d155b,44aedc01,776ce399,891589e7,b6862699,b1252a9d,04b46556,,32c7478e,3fdb382b,ea9a246c,49d68486
10280397,0,0,0,2,3,3818,63,9,15,81,0,1,,3,3c9d8785,f9875f50,dc0cf47a,d31d47a9,25c83c98,fbad5c96,bca565f3,0b153874,a73ee510,5a625714,22a7590c,6e71cf2f,beab4b19,1adce6ef,9bd565d9,1cad982b,e5ba7672,43a9e4b1,712d530c,b1252a9d,782a9ca3,,423fab69,1793a828,e8b83407,d88052b3
10281222,0,,0,2,1,39847,87,0,1,62,,0,,1,68fd1e64,78ccd99e,a4b93e69,e8338f6b,25c83c98,7e0ccccf,bfb6fd56,0b153874,a73ee510,906d2709,b06ac93b,0148b988,2d5fa3e9,07d13a8f,162f3329,89855f11,d4bb7bd8,e7e991cb,b2e77b63,a458ea53,58dda4a9,,32c7478e,3fdb382b,001f3601,49d68486
10310942,0,0,92,,1,1913,10,3,3,9,0,1,,1,be589b51,bc6e3dc1,67799c69,d00d0f35,25c83c98,6f6d9be8,d20b4953,0b153874,a73ee510,fbbf2c95,c82f1813,b9f28c33,949ea585,b28479f6,16829d18,0f655650,e5ba7672,3a2028fd,,,b426bc93,,32c7478e,2e0a0035,,
10324971,0,,2,4,7,1229,,0,11,14,,0,,7,fb174e6b,38a947a1,c7387bb0,76f1680f,43b19349,fe6b92e5,7504367d,51d76abe,a73ee510,0e18fba7,1c4009ed,5a68dc6e,01a64571,64c94865,ade1227c,c070baad,1e88c74f,218cd882,,,1da2c9d9,,3a171ecb,cd1adb91,,
10338421,0,,181,2,2,18,,0,2,2,,0,,2,05db9164,cfcdf408,3f6b1114,e357ebfd,25c83c98,fbad5c96,3dd32b15,1f89b562,a73ee510,3b08e48b,a12fca95,1c880d34,9b9e44d2,07d13a8f,1f84866a,e7b157f5,776ce399,61d44c4a,,,71e9030a,,be7c41b4,46914c68,,
10338434,0,,2,12,6,550,,0,47,40,,0,,6,68fd1e64,942f9a8d,0d7ede92,29883e2c,4cf72387,7e0ccccf,49b74ebc,5b392875,a73ee510,0e9ead52,c4adf918,6913bdfc,85dbe138,07d13a8f,a8e962af,d70f0bae,1e88c74f,1f868fdd,21ddcdc9,a458ea53,3760dea2,ad3062eb,32c7478e,3fdb382b,9d93af03,49d68486
10339725,0,1,-1,10,2,1385,16,3,10,27,0,2,,2,68fd1e64,4e8d18ed,a23e2627,08e9c1dd,4cf72387,7e0ccccf,591cb217,0b153874,a73ee510,3b08e48b,eaf88d59,db2dd8d9,5cd1b6c0,b28479f6,3438297f,aa8aa26b,e5ba7672,47e4d79e,21ddcdc9,a458ea53,c60d51b2,,32c7478e,3fdb382b,b9266ff0,49d68486
10347230,0,,-1,18,5,25299,56,10,5,61,,1,,5,05db9164,1cfdf714,eb52050f,69bd8f18,2c6b8ded,7e0ccccf,90a2c015,0b153874,a73ee510,3b08e48b,0f736a0c,d6e7a3ac,3af886ff,f862f261,0e1257cc,c8b83306,e5ba7672,e88ffc9d,95709483,b1252a9d,82a97885,,423fab69,4d547c31,cb079c2d,aca1338d
10378660,1,,1,21,2,31475,50,1,4,28,,0,,2,291b7ba2,3ab4d7f5,109ddc69,73ad28a8,4cf72387,fe6b92e5,4ac9db9e,51d76abe,a73ee510,3b08e48b,bc346946,d72a8b65,bcc725fc,1adce6ef,e952ec4a,4b6488bc,e5ba7672,b76fb0de,21ddcdc9,a458ea53,6f393b20,ad3062eb,32c7478e,65e74c52,c9f3bea7,49a08543
10382457,1,1,0,1,2,704,3,1,3,2,1,1,1,2,05db9164,38a947a1,,,25c83c98,7e0ccccf,06f31cbc,0b153874,a73ee510,3b08e48b,4552f2f6,,4d8657a2,64c94865,74c723b2,,3486227d,95363e34,,,,,55dd3565,,,
10390088,0,6,1,44,12,27,12,35,15,213,1,5,,12,5a9ed9b0,e5fb1af3,90f59fec,c11212fa,25c83c98,7e0ccccf,1e638f87,0b153874,a73ee510,9ad4a825,8f736c02,c1cf7371,954f731f,07d13a8f,b5de5956,cf9a0f38,27c07bd6,13145934,81551f75,a458ea53,ae5154ef,,423fab69,26dd4ba1,3a6f6b59,d064b1aa
10394865,0,2,4,30,20,872,20,13,20,20,1,6,1,20,86295adc,1cfdf714,a75a5a20,99c0204e,25c83c98,7e0ccccf,4ac30148,0b153874,a73ee510,3b08e48b,c05dff4b,92a3a6b6,a22449ca,f862f261,0e1257cc,518f0b24,3486227d,e88ffc9d,21ddcdc9,b1252a9d,2cd1c39f,ad3062eb,dbb486d7,3fdb382b,9721386e,49d68486
10400763,0,,0,24,12,88541,39,0,15,17,,0,,12,439a44a4,287130e0,31c3612f,14f195ab,25c83c98,,cb9b1a64,0b153874,7cc72ec2,85635bd0,6929fdac,60e03064,2a268e4e,1adce6ef,310d155b,dff2640e,e5ba7672,891589e7,21ddcdc9,a458ea53,7f311475,,bcdee96c,3fdb382b,ea9a246c,49d68486
10410412,0,,0,3,2,11016,21,4,6,21,,1,,2,5a9ed9b0,3e4b7926,0a482835,3e1a8834,43b19349,7e0ccccf,7c7f8ebd,0b153874,a73ee510,3b76bfa9,d7129972,58cb599f,c0c5f46b,07d13a8f,e6863a8e,a4b1e7b0,e5ba7672,e261f8d8,21ddcdc9,a458ea53,ff661d94,,32c7478e,66fcb3d4,47907db5,2e3a9b98
10416707,0,,0,3,3,20790,31,1,11,26,,1,,3,68fd1e64,38a947a1,,,4cf72387,6f6d9be8,3086a9e9,37e4aa92,a73ee510,3b08e48b,ebd30041,,c7a109eb,cfef1c29,96231dc6,,d4bb7bd8,659bdb63,,,,,32c7478e,,,
10418934,0,0,3,30,16,2675,177,33,33,230,0,4,,16,68fd1e64,421b43cd,2e691279,29998ed1,30903e74,7e0ccccf,0e3faf03,5b392875,a73ee510,69c14035,73be5cc3,6aaba33c,c9971f88,b28479f6,2d0bb053,b041b04a,e5ba7672,2804effd,,,723b4dfd,,3a171ecb,b34f3128,,
10422096,1,0,2,2,2,9747,180,1,4,267,0,1,0,2,05db9164,cbac4677,39869efd,4d6480da,4cf72387,fbad5c96,cf3a5ef5,0b153874,a73ee510,671ae88f,2c44514d,b8ed7edd,1e750733,1adce6ef,1ddb1d9a,3b23602e,3486227d,371018ba,,,1987d8cb,ad3062eb,423fab69,468af5eb,,
10422237,0,0,11,1,1,2096,29,38,20,386,0,6,,1,05db9164,90081f33,c549d2cb,379a7ea8,25c83c98,fe6b92e5,2d7ba5c7,1f89b562,a73ee510,907110ab,e52152c0,fc14c22c,e2824235,b28479f6,281363b2,2a98c117,e5ba7672,0ebdbf46,,,1c38f8a2,,bcdee96c,ae362bdd,,
10431237,0,,0,7,8,4209,30,3,8,31,,1,,8,05db9164,3e4b7926,977d3f1b,014c3373,25c83c98,fe6b92e5,29cfd71f,0b153874,a73ee510,59a08730,a4ea009a,23ed82ad,1e9339bc,07d13a8f,e6863a8e,ff7502c8,e5ba7672,e261f8d8,21ddcdc9,b1252a9d,4dbefafe,,c7dc6720,53786e59,47907db5,8219777e
10476428,0,,760,,11,12352,201,1,20,136,,1,0,13,05db9164,68b3edbf,02cf9876,c18be181,25c83c98,7e0ccccf,aad8a7ac,37e4aa92,a73ee510,3b08e48b,b6ac69d0,8fe001f4,e987b058,b28479f6,f1ab5b11,36103458,3486227d,58681afc,,,e587c466,,3a171ecb,3b183c5c,,
10498074,0,,1,3,1,7080,1,1,1,1,,1,,1,05db9164,78ccd99e,1113224a,adbb798a,4cf72387,fe6b92e5,195ce981,0b153874,a73ee510,4b4670a5,c58af4d9,cdaa5df6,b6c4d6d8,1adce6ef,b00d57a8,5fea002e,d4bb7bd8,e7e991cb,e14dee06,a458ea53,802834bf,,32c7478e,7f5ff164,60c2b362,f40f0655
10498300,0,3,58,4,10,54,10,3,10,10,1,1,,10,05db9164,09e68b86,0695c4e7,07155d35,25c83c98,fe6b92e5,57b4bd89,5b392875,a73ee510,3b08e48b,71fd20d9,394e338d,ddd66ce1,1adce6ef,dbc5e126,7cff34db,1e88c74f,5aed7436,a18beb4f,b1252a9d,6ff7bcf3,ad3062eb,bcdee96c,eb1ef865,e8b83407,35857b9a
10534541,0,0,0,11,3,3533,141,15,4,177,0,4,,3,05db9164,38a947a1,d9f0015c,8f216d0f,25c83c98,7e0ccccf,09e42cac,37e4aa92,a73ee510,8c6b20b6,30b2a438,f4b9b831,aebdb575,07d13a8f,c1f9a26d,3e355a65,e5ba7672,78e611cf,,,ce7a0fd2,,c7dc6720,2364c1ff,,
10543370,0,,1,9,4,4137,157,5,4,7,,2,,4,34f74dfd,4f25e98b,b393df87,c3fecae9,43b19349,13718bbd,cdbfd303,0b153874,a73ee510,f26b7f57,9a422971,8d33fe00,174e4cac,1adce6ef,57a9c379,0fd4fbad,e5ba7672,9e4517be,21ddcdc9,5840adea,572bdde8,,3a171ecb,9fa3e01a,001f3601,d9bcfc08
10552721,0,0,24,,,25590,277,11,0,25,0,1,,,05db9164,f7ab4058,5552f51f,e3c52e1f,25c83c98,fe6b92e5,ed15a350,5b392875,a73ee510,3b08e48b,85384859,5479ea19,d999ee7c,07d13a8f,521b9165,642226f2,e5ba7672,e5213cd5,21ddcdc9,5840adea,4c3eea79,,32c7478e,68353f56,ea9a246c,0a59f4a9
10585711,0,,1,4,3,104993,,0,4,6,,0,,3,05db9164,287130e0,243bed2d,a87c2ac7,25c83c98,fbad5c96,9905f515,0b153874,7cc72ec2,711ec2bc,2c44514d,27d36a17,1e750733,07d13a8f,6aaa8dbc,1faa57b8,8efede7f,53515e19,efa3470f,5840adea,9e409282,ad3062eb,32c7478e,e7afe906,ea9a246c,03219b28
10586698,0,0,-1,1,,16806,303,1,4,97,0,1,,,68fd1e64,38a947a1,bd16453c,b89fd40f,25c83c98,fe6b92e5,9b98e9fc,5b392875,a73ee510,f6f942d1,7f8ffe57,dc5b89d3,46f42a63,07d13a8f,a27f29ac,56223e9e,d4bb7bd8,ae19423f,,,f40613aa,,32c7478e,e676df61,,
10595302,0,,-2,38,6,40014,,0,5,6,,0,,6,41edac3d,58e67aaf,c4d8fd92,05d6a7e0,25c83c98,7e0ccccf,41f01e8e,37e4aa92,a73ee510,3b08e48b,ebd30041,6860728c,c7a109eb,b28479f6,62eca3c0,da931887,e5ba7672,c21c3e4c,19b31d2c,b1252a9d,b09a69b5,,32c7478e,34f38302,e8b83407,2f3e44ad
10639342,0,,765,,,2198,0,6,0,0,,1,,,87552397,fc67db1d,fa60cee7,1f54337f,f281d2a7,fbad5c96,6284da2d,0b153874,a73ee510,36b52ffb,5874c9c9,19778c70,740c210d,1adce6ef,a89936e1,a6fda755,e5ba7672,5e5b3998,,,b0321232,ad3062eb,bcdee96c,8c882225,,
10641950,0,10,0,22,31,11,32,10,22,31,2,2,,28,5bfa8ab5,207b2d81,9dd3c4fc,a09fab49,25c83c98,7e0ccccf,fe4dce68,37e4aa92,a73ee510,6a002f59,68357db6,3c5900b5,768f6658,b28479f6,c38116c9,0decd005,e5ba7672,d3303ea5,21ddcdc9,b1252a9d,7633c7c8,,32c7478e,17f458f7,001f3601,2efac7d3
10659527,0,0,2,13,13,2950,762,1,22,164,0,1,0,15,5a9ed9b0,207b2d81,9c28ed49,397ce063,25c83c98,7e0ccccf,dc7659bd,0b153874,a73ee510,efea433b,e51ddf94,2c4d9c4c,3516f6e6,b28479f6,883b58ab,cbeda6bd,e5ba7672,f75ed668,21ddcdc9,a458ea53,b2d90d0f,c9d4222a,3a171ecb,9f8b7b85,001f3601,23caa300
10666092,0,0,176,2,2,1392,,0,35,82,0,0,,2,be589b51,a796837e,ca4e1f28,6d69411c,4cf72387,7e0ccccf,38eb9cf4,0b153874,a73ee510,e9995d97,7f8ffe57,b63694a4,46f42a63,07d13a8f,23a9a76d,4ec3507f,e5ba7672,c4ba79ab,,,c53ed935,,32c7478e,8fc66e78,,
10670439,0,5,50,,7,1,3,5,8,7,1,1,4,0,05db9164,38a947a1,72e5eac0,eee0e446,25c83c98,fbad5c96,468a0854,0b153874,a73ee510,3b08e48b,a60de4e5,673768e2,605bbc24,1adce6ef,4bc51dd6,d617f1ff,8efede7f,7abb2837,,,72a8c407,,32c7478e,375c3609,,
10673131,1,16,22,14,12,28,32,23,29,60,1,3,,12,05db9164,33728ce9,4b0ad917,4e353d3a,25c83c98,fbad5c96,69bdbba2,0b153874,a73ee510,e7d067c4,ce997386,ce2957ad,5ba9ebe2,07d13a8f,a240ff99,5f704016,e5ba7672,07070d63,21ddcdc9,5840adea,e5195a68,ad3062eb,c7dc6720,9be5c7a4,2bf691b1,2fede552
10676095,0,0,1,1,2,2852,157,1,30,147,0,1,,12,c71ae391,5368c225,e22844b2,fadd820a,4cf72387,7e0ccccf,1a671428,0b153874,a73ee510,3b08e48b,15e10f9c,2a4ef823,0710c0b5,07d13a8f,cbdbab51,eaead249,d4bb7bd8,a53934cb,,,71e3dba8,,be7c41b4,2cb8e5cc,,
10676384,1,3,-1,,,984,9,7,0,1,1,3,,,05db9164,1287a654,47b2f6c4,90442436,25c83c98,7e0ccccf,baddb49d,0b153874,a73ee510,0af77012,8c997030,84497111,916be09b,b28479f6,ced5be3a,276d8435,07c540c4,df00d249,,,0d382282,,3a171ecb,b4b962e1,,
10695541,0,1,17,1,1,1238,7,2,1,1,0,1,,1,68fd1e64,421b43cd,ded4b56e,29998ed1,4cf72387,fe6b92e5,4aa938fc,25239412,a73ee510,9598fde8,7e40f08a,6aaba33c,1aa94af3,b28479f6,e1ac77f7,b041b04a,07c540c4,2804effd,,,723b4dfd,ad3062eb,3a171ecb,b34f3128,,
10705480,0,,25,8,5,15804,,0,11,99,,0,,5,05db9164,b56822db,7da86e4b,b733e495,4cf72387,7e0ccccf,c1e437af,316074ea,a73ee510,3b08e48b,89e133cd,ed397d6b,5f43eed6,b28479f6,a9d1ba1a,056d8866,776ce399,38dce391,21ddcdc9,b1252a9d,deaf6b52,ad3062eb,32c7478e,d9556584,001f3601,6c27a535
10720603,0,,3,7,13,15,596,0,9,134,,0,0,11,05db9164,404660bb,003f419b,ff852091,25c83c98,7e0ccccf,1c86e0eb,0b153874,a73ee510,ccbfe296,755e4a50,349450bc,5978055e,b28479f6,f0449815,6615ffe6,e5ba7672,997cd4bd,21ddcdc9,5840adea,3dd38d65,,32c7478e,c2fe6ca4,f0f449dd,cb451a6d
10730551,0,2,0,34,10,1054,43,2,13,12,1,1,,10,05db9164,f6f4fe4b,3c45625f,907e4345,43b19349,fbad5c96,0636947d,0b153874,a73ee510,c45cc139,4d38a97d,8c06d804,0f3d4e02,07d13a8f,ef6fe5a5,4cc0eaa2,d4bb7bd8,0a20b09c,,,79722842,,3a171ecb,195e7102,,
10732025,1,1,0,6,9,1147,26,2,31,114,1,2,,9,05db9164,80e26c9b,e346a5fd,85dd697c,25c83c98,,3d63f4e6,1f89b562,a73ee510,5aecc062,af6a4ffc,539c5644,2a1579a2,b28479f6,a785131a,aafa191e,e5ba7672,005c6740,21ddcdc9,5840adea,7e5b7cc4,,32c7478e,1793a828,e8b83407,b9809574
10732504,0,0,0,13,3,7142,51,16,14,22,0,2,,3,8cf07265,287130e0,a952e134,50635c85,25c83c98,fbad5c96,f2530a89,0b153874,a73ee510,8e3b57d6,2181d913,c7c6bddc,1e750733,1adce6ef,310d155b,a6ba2f5b,e5ba7672,891589e7,21ddcdc9,a458ea53,c9e32952,c0061c6d,32c7478e,3fdb382b,b9266ff0,49d68486
10790107,0,,1,14,,50150,414,0,4,40,,0,,,9a89b36c,6e638bbc,e1266b28,09e3cd5a,25c83c98,fe6b92e5,fd8ca9eb,0b153874,7cc72ec2,61efb79c,0ad37b4b,eb8ded57,f9d99d81,07d13a8f,1f29ec61,3d9023a4,07c540c4,3cb7e3f0,21ddcdc9,b1252a9d,31b4af04,,85d5a995,8d653a3e,445bbe3b,8e1ae331
10792919,0,1,0,3,,972,90,26,49,231,1,6,0,,9a89b36c,5df29557,3894f77d,9bb22ee6,25c83c98,,b0e3882e,062b5529,a73ee510,a9271c40,f37be5c0,597d0c6a,a59ea816,b28479f6,41e41995,a3e2bacb,e5ba7672,1ba8cd7e,21ddcdc9,5840adea,3fbcd392,,c7dc6720,2a1e2684,445bbe3b,81cbd77c
10811655,0,,104,,12,54678,,0,12,12,,0,,12,05db9164,b56822db,7da86e4b,b733e495,25c83c98,7e0ccccf,d5e87126,0b153874,7cc72ec2,a40adfe9,550d5889,ed397d6b,7ed1487f,b28479f6,a9d1ba1a,056d8866,e5ba7672,38dce391,21ddcdc9,b1252a9d,deaf6b52,,bcdee96c,d9556584,001f3601,6c27a535
10812758,0,,2,,1,31118,14,1,1,8,,1,,1,05db9164,39dfaa0d,70be4cf9,20a59395,25c83c98,fe6b92e5,f4ec8b1c,1f89b562,a73ee510,3b08e48b,a74169ca,3902fc54,1cf9c8dd,07d13a8f,60fa10e5,dd2bb930,07c540c4,df4fffb7,21ddcdc9,b1252a9d,31ed205c,78e2e389,3a171ecb,2ddb79f8,010f6491,aa5f0a15
10817929,0,,-1,2,3,1494,,0,6,13,,0,,3,8cf07265,207b2d81,00351e59,4e1c036b,25c83c98,fbad5c96,e0386b63,0b153874,a73ee510,b78f3a55,371dae82,8e8a5d22,18fc2b1e,07d13a8f,0bf0feff,b7f61016,07c540c4,fa0643ee,21ddcdc9,5840adea,fc40f53b,ad3062eb,3a171ecb,2896ad66,001f3601,39f4914b
10826352,0,0,3290,,0,7788,150,7,1,179,0,2,,13,5a9ed9b0,2eb7b10e,164421ea,684abf7b,25c83c98,fbad5c96,403b6e61,062b5529,a73ee510,22616ca3,32b2a883,1a3c8178,cb87a1bf,07d13a8f,6d737967,f2c6a810,e5ba7672,9378e2ce,,,45973cd5,,423fab69,45b2acf4,,
10836551,0,,5,,,4222,415,0,6,176,,0,,,05db9164,e112a9de,a8d6c8b0,65e97d66,4cf72387,fbad5c96,9318e07c,0b153874,a73ee510,3b08e48b,0edeb46b,bd7eec69,c3808654,07d13a8f,adfbda5b,332f7099,07c540c4,defd44e8,,,40acbeb3,,32c7478e,8f079aa5,,
10849427,1,,51,,2,36938,,0,0,22,,0,,2,17f69355,287130e0,c497dafb,f3ea7553,4cf72387,fbad5c96,a2d78ab9,5b392875,a73ee510,9adbf3f2,16bad5cc,bb1ae4a0,4799f4bd,1adce6ef,310d155b,5fdc93f4,e5ba7672,891589e7,d0f8ac89,a458ea53,2d60ab41,c9d4222a,3a171ecb,c7b68c7c,001f3601,fd2646e4
10852952,1,9,1274,4,8,20,0,121,44,298,2,13,,0,05db9164,09e68b86,aa386cdf,d31d47a9,25c83c98,fe6b92e5,f2d80b52,37e4aa92,a73ee510,12bb8262,1bb4f435,bc1e4530,e8d4ea40,1adce6ef,dbc5e126,1cad982b,e5ba7672,5aed7436,fd577979,a458ea53,8bb12ec3,c9d4222a,423fab69,1793a828,e8b83407,d88052b3
10857532,0,,0,1,3,7,,0,3,3,,0,,3,05db9164,38d50e09,2a329a21,c5daf919,25c83c98,7e0ccccf,5f2133cc,0b153874,a73ee510,e546f233,5e4d7944,230267f3,ef2542c1,b28479f6,4be6e448,59e681a4,1e88c74f,19fec6cc,21ddcdc9,a458ea53,f89f9b62,,3a171ecb,03aefe56,001f3601,c27f155b
